日期,摄像头编号,采集地点,当日采集任务,采集时长
2026年2月24日,14-1ec0,济宁,分拣豆子,5.03
2026年2月24日,39-d877,济宁,分拣豆子,5.07
2026年2月24日,110-082c,河南,书本收纳,5.13
2026年2月24日,50-1af8,河南,整理名片 / 会员卡/银行卡,6.04
2026年2月24日,102-4f53,河南,书本收纳,2.57
2026/2/25,97-98a7,丰县,整理零食、调料或玩具,0.9
2026/2/25,55-4aa8,丰县,整理鞋柜,5.0
2026年2月25日,102-4f53,河南,书本收纳,
2026年2月25日,50-1af8,河南,分拣晾晒衣物夹子,10.12
2026年2月25日,110-082c,河南,分拣乐高 / 积木零件,7.15
2026年2月25日,39-d877,济宁,药箱收纳,5.2
2026年2月25日,14-1ec0,济宁,整理洗漱用品,5.1
2026/2/25,25-7088,丰县,穿鞋带,5.0
2026年2月26日,14-1ec0,济宁,整理碗筷,5.08
2026年2月26日,50-1af8,河南,整理零食、调料或玩具,5.06
2026年2月26日,67-f20e,济宁,整理碗筷,5.1
2026年2月27日,39-d877,济宁,整理数据线,5.07
2026年2月27日,14-1ec0,济宁,整理数据线,5.05
2026年2月27日,110-082c,河南,整理名片 / 会员卡/银行卡,6.5
2026年2月27日,102-4f53,河南,分拣晾晒衣物夹子,5
2026年2月27日,50-1af8,河南,整理碗筷,10.41
2026年2月27日,67-f20e,济宁,药箱收纳,5.1
2026年2月28日,110-082c,河南,整理文件,5.11
2026年2月28日,102-4f53,河南,收拾桌面,5.1
2026年2月28日,50-1af8,河南,叠衣服,10.25
2026年2月28日,14-1ec0,济宁,收拾桌面,5.02
2026年2月28日,39-d877,济宁,收拾桌面,5.04
2026年3月1日,102-4f53,河南,整理洗漱用品,5.16
2026年3月1日,50-1af8,河南,叠衣服,
2026年3月1日,110-082c,河南,分拣晾晒衣物夹子,6.13
2026年3月1日,67-f20e,济宁,整理数据线,5.09
2026年3月1日,14-1ec0,济宁,分拣乐高 / 积木零件,5.03
2026年3月1日,39-d877,济宁,电池安装,5.01
2026年3月2日,14-1ec0,济宁,分拣晾晒衣物夹子,5.11
2026年3月2日,39-d877,济宁,分拣晾晒衣物夹子,5.2
2026年3月2日,67-f20e,济宁,电池安装,5.05
2026年3月2日,110-082c,河南,整理零食、调料或玩具,5.4
2026年3月2日,50-1af8,河南,收拾桌面,
2026年3月2日,102-4f53,河南,整理洗漱用品,
