日期,摄像头编号,采集地点,当日采集任务,采集时长,家庭编号,备注,,,,,,,,,,,,,
2026/2/22,104-3fff,丰县,用抹布擦拭碗盘,5.33,家庭8,,,,,,,,,,,,,,
2026/2/22,017-0af6,丰县,整理鞋柜,4.02,家庭1,,,,,,,,,,,,,,
2026/2/22,55-4aa8,丰县,整理文件,5.2,家庭9,,,,,,,,,,,,,,
2026/2/22,25-7088,丰县,收拾桌面,5.1,家庭10,,,,,,,,,,,,,,
2026/2/23,017-0af6,丰县,整理鞋柜,1.03,家庭1,,,,,,,,,,,,,,
2026/2/23,08-9921,丰县,整理洗漱用品,2.8,家庭6,,,,,,,,,,,,,,
2026/2/23,55-4aa8,丰县,收拾桌面,5.28,家庭9,,,,,,,,,,,,,,
2026/2/23,25-7088,丰县,整理文件,5.18,家庭10,,,,,,,,,,,,,,
2026/2/24,25-7088,丰县,整理鞋柜,5,家庭10,,,,,,,,,,,,,,
2026/2/24,55-4aa8,丰县,穿鞋带,5.1,家庭9,,,,,,,,,,,,,,
2026/2/24,101-6ea2,丰县,用抹布擦拭碗盘,5,家庭7,,,,,,,,,,,,,,
2026/2/25,97-98a7,丰县,整理零食、调料或玩具,0.9,家庭4,,,,,,,,,,,,,,
2026/2/25,25-7088,丰县,穿鞋带,5,家庭10,,,,,,,,,,,,,,
2026/2/25,55-4aa8,丰县,整理鞋柜,5,家庭9,,,,,,,,,,,,,,
